Player,Role,Amount,Team,Year,Player Origin
Aaron Finch,Batsman,40000000,Sunrisers Hyderabad,2014,Overseas
Aaron Finch,Batsman,32000000,Mumbai Indians,2015,Overseas
Aaron Finch,Batsman,10000000,Gujarat Lions,2016,Overseas
Aaron Finch,Batsman,62000000,Kings XI Punjab,2018,Overseas
Aaron Finch,Batsman,44000000,Royal Challengers Bangalore,2020,Overseas
Abdul Samad,All-Rounder,2000000,Sunrisers Hyderabad,2020,Indian
Abhijeet Tomar,Batsman,4000000,Kolkata Knight Riders,2022,Indian
Abhimanyu Mithun,Bowler,3000000,Mumbai Indians,2015,Indian
Abhimanyu Mithun,Bowler,3000000,Sunrisers Hyderabad,2016,Indian
Abhinav Sadarangani,Batsman,26000000,Gujarat Titans,2022,Indian
Abhishek Nayar,All-Rounder,50625000,Pune Warriors India,2013,Indian
Abhishek Nayar,All-Rounder,10000000,Rajasthan Royals,2014,Indian
Abhishek Sharma,All-Rounder,5500000,Delhi Daredevils,2018,Indian
Abhishek Sharma,All-Rounder,65000000,Sunrisers Hyderabad,2022,Indian
Abu Nechim Ahmed,Bowler,3000000,Royal Challengers Bangalore,2014,Indian
Adam Milne,Bowler,7000000,Royal Challengers Bangalore,2015,Overseas
Adam Milne,Bowler,32000000,Mumbai Indians,2021,Overseas
Adam Milne,Bowler,19000000,Chennai Super Kings,2022,Overseas
Adam Zampa,Bowler,3000000,Rising Pune Supergiant,2016,Overseas
Aditya Garhwal,All-Rounder,2500000,Kolkata Knight Riders,2015,Indian
Aditya Tare,Wicket Keeper,16000000,Mumbai Indians,2014,Indian
Aditya Tare,Wicket Keeper,12000000,Sunrisers Hyderabad,2016,Indian
Aditya Tare,Wicket Keeper,2500000,Delhi Daredevils,2017,Indian
Aditya Tare,Wicket Keeper,2000000,Mumbai Indians,2018,Indian
Agnivesh Ayachi,All-Rounder,2000000,Kings XI Punjab,2019,Indian
Aiden Blizzard,Batsman,3000000,Mumbai Indians,2015,Overseas
Aiden Markram,Batsman,26000000,Sunrisers Hyderabad,2022,Overseas
Ajantha Mendis,Bowler,54375000,Pune Warriors India,2013,Overseas
Ajinkya Rahane,Batsman,40000000,Rajasthan Royals,2018,Indian
Ajinkya Rahane,Batsman,10000000,Kolkata Knight Riders,2022,Indian
Akash Deep,Bowler,2000000,Royal Challengers Bangalore,2022,Indian
Akash Singh,Bowler,2000000,Rajasthan Royals,2020,Indian
Akash Singh,Bowler,2000000,Rajasthan Royals,2021,Indian
Akhil Arvind Herwadkar,All-Rounder,1000000,Delhi Daredevils,2016,Indian
Akila Dananjaya,All-Rounder,1500000,Chennai Super Kings,2013,Overseas
Akila Dhananjaya,Bowler,5000000,Mumbai Indians,2018,Overseas
Akshar Rajesh Patel,All-Rounder,7500000,Kings XI Punjab,2014,Indian
Akshay Karnewar,All-Rounder,1000000,Royal Challengers Bangalore,2016,Indian
Akshay Wakhare,Bowler,1000000,Mumbai Indians,2015,Indian
Akshdeep Nath,All-Rounder,1000000,Gujarat Lions,2016,Indian
Akshdeep Nath,All-Rounder,1000000,Gujarat Lions,2017,Indian
Akshdeep Nath,All-Rounder,10000000,Kings XI Punjab,2018,Indian
Akshdeep Nath,All-Rounder,36000000,Royal Challengers Bangalore,2019,Indian
Albie Morkel,All-Rounder,24000000,Royal Challengers Bangalore,2014,Overseas
Albie Morkel,All-Rounder,3000000,Delhi Daredevils,2015,Overseas
Alex Carey,Wicket Keeper,24000000,Delhi Capitals,2020,Overseas
Alex Hales,Batsman,15000000,Kolkata Knight Riders,2022,Overseas
Alzarri Joseph,Bowler,24000000,Gujarat Titans,2022,Overseas
Aman Khan,All-Rounder,2000000,Kolkata Knight Riders,2022,Indian
Ambati Rayudu,Wicket Keeper,22000000,Chennai Super Kings,2018,Indian
Ambati Rayudu,Wicket Keeper,67500000,Chennai Super Kings,2022,Indian
Amit Mishra,Bowler,1000000,Rajasthan Royals,2014,Indian
Amit Mishra,Bowler,47500000,Sunrisers Hyderabad,2014,Indian
Amit Mishra,Bowler,35000000,Delhi Daredevils,2015,Indian
Amit Mishra,Bowler,1000000,Gujarat Lions,2016,Indian
Amit Mishra,Bowler,40000000,Delhi Daredevils,2018,Indian
Amit Paunikar,Wicket Keeper,2000000,Sunrisers Hyderabad,2014,Indian
Andre Russell,All-Rounder,6000000,Kolkata Knight Riders,2014,Overseas
Andrew Tye,Bowler,2000000,Chennai Super Kings,2015,Overseas
Andrew Tye,All-Rounder,5000000,Gujarat Lions,2016,Overseas
Andrew Tye,Bowler,72000000,Kings XI Punjab,2018,Overseas
Andrew Tye,Bowler,10000000,Rajasthan Royals,2020,Overseas
Aneeshwar Gautam,All-Rounder,2000000,Royal Challengers Bangalore,2022,Indian
Angelo Mathews,All-Rounder,75000000,Delhi Daredevils,2015,Overseas
Angelo Mathews,All-Rounder,20000000,Delhi Daredevils,2017,Overseas
Aniket Choudhary,Bowler,20000000,Royal Challengers Bangalore,2017,Indian
Aniket Choudhary,Bowler,3000000,Royal Challengers Bangalore,2018,Indian
Anirudha Ashok Joshi,All-Rounder,2000000,Royal Challengers Bangalore,2018,Indian
Anirudha Ashok Joshi,All-Rounder,2000000,Rajasthan Royals,2020,Indian
Ankeet Bawane,Batsman,1000000,Delhi Daredevils,2017,Indian
Ankit Nagendra Sharma,Bowler,1000000,Rajasthan Royals,2014,Indian
Ankit Sharma,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian
Ankit Sharma,All-Rounder,2000000,Rajasthan Royals,2018,Indian
Ankit Singh Rajpoot,Bowler,15000000,Kolkata Knight Riders,2016,Indian
Ankit Singh Rajpoot,Bowler,30000000,Kings XI Punjab,2018,Indian
Ankit Singh Rajpoot,Bowler,5000000,Lucknow Super Giants,2022,Indian
Ankush Bains,Wicket Keeper,1000000,Rajasthan Royals,2014,Indian
Ankush Bains,Wicket Keeper,1000000,Chennai Super Kings,2015,Indian
Ankush Bains,Wicket Keeper,1000000,Rising Pune Supergiant,2016,Indian
Ankush Bains,Wicket Keeper,2000000,Delhi Capitals,2019,Indian
Anmolpreet Singh,Batsman,8000000,Mumbai Indians,2019,Indian
Anmolpreet Singh,Batsman,2000000,Mumbai Indians,2022,Indian
Anrich Nortje,Bowler,2000000,Kolkata Knight Riders,2019,Overseas
Ansh Patel,All-Rounder,2000000,Punjab Kings,2022,Indian
Anuj Rawat,Wicket Keeper,8000000,Rajasthan Royals,2020,Indian
Anuj Rawat,Wicket Keeper,34000000,Royal Challengers Bangalore,2022,Indian
Anukul Roy,All-Rounder,2000000,Mumbai Indians,2018,Indian
Anukul Roy,All-Rounder,2000000,Kolkata Knight Riders,2022,Indian
Anunay Singh,All-Rounder,2000000,Rajasthan Royals,2022,Indian
Anureet Singh,Bowler,2000000,Kings XI Punjab,2014,Indian
Anureet Singh,Bowler,3000000,Rajasthan Royals,2018,Indian
Apoorv Vijay Wankhade,Batsman,1000000,Mumbai Indians,2014,Indian
Apoorv Vijay Wankhade,Batsman,2000000,Kolkata Knight Riders,2018,Indian
Arjun Tendulkar,All-Rounder,2000000,Mumbai Indians,2021,Indian
Arjun Tendulkar,All-Rounder,3000000,Mumbai Indians,2022,Indian
Armaan Jaffer,Batsman,1000000,Kings XI Punjab,2016,Indian
Arshdeep Singh,Bowler,2000000,Kings XI Punjab,2019,Indian
Aryaman Vikram Birla,All-Rounder,3000000,Rajasthan Royals,2018,Indian
Aryan Juyal,Wicket Keeper,2000000,Mumbai Indians,2022,Indian
Asela Gunarathna,Batsman,3000000,Mumbai Indians,2017,Overseas
Ashish Nehra,Bowler,20000000,Chennai Super Kings,2014,Indian
Ashish Nehra,Bowler,55000000,Sunrisers Hyderabad,2016,Indian
Ashish Reddy,Bowler,2000000,Sunrisers Hyderabad,2014,Indian
Ashok Dinda,Bowler,15000000,Royal Challengers Bangalore,2014,Indian
Ashok Dinda,Bowler,5000000,Rising Pune Supergiant,2016,Indian
Ashok Sharma,Bowler,5500000,Kolkata Knight Riders,2022,Indian
Ashton Turner,All-Rounder,5000000,Rajasthan Royals,2019,Indian
Ashwin Hebbar,Batsman,2000000,Delhi Capitals,2022,Indian
Asif K M,Bowler,4000000,Chennai Super Kings,2018,Indian
Atharva Taide,All-Rounder,2000000,Punjab Kings,2022,Indian
Avesh Khan,Bowler,7000000,Delhi Daredevils,2018,Indian
Avesh Khan,Bowler,100000000,Lucknow Super Giants,2022,Indian
Axar Rajesh Patel,All-Rounder,50000000,Delhi Capitals,2019,Indian
Ayush Badoni,All-Rounder,2000000,Lucknow Super Giants,2022,Indian
B. Sai Sudharsan,All-Rounder,2000000,Gujarat Titans,2022,Indian
Baba Aparajith,Batsman,1000000,Chennai Super Kings,2014,Indian
Baba Aparajith,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian
Baba Indrajith,Wicket Keeper,2000000,Kolkata Knight Riders,2022,Indian
Baltej Dhanda,Bowler,2000000,Punjab Kings,2022,Indian
Bandaru Ayyappa,Bowler,2000000,Delhi Capitals,2019,Indian
Barinder Singh Saran,Bowler,1000000,Rajasthan Royals,2015,Indian
Barinder Singh Sran,Bowler,12000000,Sunrisers Hyderabad,2016,Indian
Barinder Singh Sran,Bowler,22000000,Kings XI Punjab,2018,Indian
Barinder Singh Sran,Bowler,34000000,Mumbai Indians,2019,Indian
Basil Thampi,Bowler,8500000,Gujarat Lions,2017,Indian
Basil Thampi,Bowler,9500000,Sunrisers Hyderabad,2018,Indian
Basil Thampi,Bowler,3000000,Mumbai Indians,2022,Indian
Ben Cutting,Bowler,8000000,Rajasthan Royals,2014,Overseas
Ben Cutting,All-Rounder,5000000,Sunrisers Hyderabad,2016,Overseas
Ben Cutting,All-Rounder,22000000,Mumbai Indians,2018,Overseas
Ben Cutting,All-Rounder,7500000,Kolkata Knight Riders,2021,Overseas
Ben Dunk,Wicket Keeper,2000000,Mumbai Indians,2014,Overseas
Ben Dwarshuis,Bowler,14000000,Kings XI Punjab,2018,Overseas
Ben Hilfenhaus,Bowler,10000000,Chennai Super Kings,2014,Overseas
Ben Laughlin,Bowler,1500000,Chennai Super Kings,2013,Overseas
Ben Laughlin,Bowler,3000000,Sunrisers Hyderabad,2017,Overseas
Ben Laughlin,Bowler,5000000,Rajasthan Royals,2018,Overseas
Benjamin Stokes,All-Rounder,145000000,Rising Pune Supergiant,2017,Overseas
Benjamin Stokes,All-Rounder,125000000,Rajasthan Royals,2018,Overseas
Benny Howell,All-Rounder,4000000,Punjab Kings,2022,Overseas
Beuran Hendricks,Bowler,18000000,Kings XI Punjab,2014,Overseas
Bhanuka Rajapaksa,Batsman,5000000,Punjab Kings,2022,Overseas
Bhuvneshwar Kumar,Bowler,42500000,Sunrisers Hyderabad,2014,Overseas
Bhuvneshwar Kumar,Bowler,42000000,Sunrisers Hyderabad,2022,Indian
Billy Stanlake,Bowler,3000000,Royal Challengers Bangalore,2017,Overseas
Billy Stanlake,Batsman,5000000,Sunrisers Hyderabad,2018,Overseas
Bipul Sharma,All-Rounder,2000000,Sunrisers Hyderabad,2018,Indian
Brad Hodge,Batsman,24000000,Rajasthan Royals,2014,Overseas
Brad Hogg,Bowler,5000000,Kolkata Knight Riders,2015,Overseas
Brendan Taylor,Wicket Keeper,3000000,Sunrisers Hyderabad,2014,Overseas
Brendon McCullum,Wicket Keeper,32500000,Chennai Super Kings,2014,Overseas
Brendon McCullum,Batsman,36000000,Royal Challengers Bangalore,2018,Overseas
C Hari Nishaanth,Batsman,2000000,Chennai Super Kings,2021,Indian
C.Hari Nishaanth,Batsman,2000000,Chennai Super Kings,2022,Indian
C.M. Gautam,Wicket Keeper,2000000,Mumbai Indians,2014,Indian
C.M. Gautam,Wicket Keeper,2000000,Delhi Daredevils,2015,Indian
Cameron Delport,All-Rounder,3000000,Kolkata Knight Riders,2018,Overseas
Carlos Brathwaite,All-Rounder,42000000,Delhi Daredevils,2016,Overseas
Carlos Brathwaite,All-Rounder,20000000,Sunrisers Hyderabad,2018,Overseas
Carlos Brathwaite,All-Rounder,50000000,Kolkata Knight Riders,2019,Overseas
Chaitanya Bishnoi,All-Rounder,2000000,Chennai Super Kings,2018,Indian
Chama Milind,Bowler,1000000,Sunrisers Hyderabad,2014,Indian
Chama Milind,Bowler,1000000,Delhi Daredevils,2016,Indian
Chama Milind,Bowler,2500000,Royal Challengers Bangalore,2022,Indian
Chamika Karunaratne,All-Rounder,5000000,Kolkata Knight Riders,2022,Overseas
Chetan Sakariya,Bowler,12000000,Rajasthan Royals,2021,Indian
Chetan Sakariya,Bowler,42000000,Delhi Capitals,2022,Indian
Cheteshwar Pujara,Batsman,19000000,Kings XI Punjab,2014,Indian
Cheteshwar Pujara,Batsman,5000000,Chennai Super Kings,2021,Indian
Chirag Suri,Batsman,1000000,Gujarat Lions,2017,Indian
Chris Green,All-Rounder,2000000,Kolkata Knight Riders,2020,Overseas
Chris Jordan,All-Rounder,5000000,Sunrisers Hyderabad,2017,Overseas
Chris Jordan,All-Rounder,10000000,Sunrisers Hyderabad,2018,Overseas
Chris Jordan,All-Rounder,30000000,Kings XI Punjab,2020,Overseas
Chris Jordan,All-Rounder,36000000,Chennai Super Kings,2022,Overseas
Chris Lynn,Batsman,13000000,Kolkata Knight Riders,2014,Overseas
Chris Lynn,Batsman,96000000,Kolkata Knight Riders,2018,Overseas
Chris Lynn,Batsman,20000000,Mumbai Indians,2020,Overseas
Chris Woakes,All-Rounder,42000000,Kolkata Knight Riders,2017,Overseas
Chris Woakes,All-Rounder,74000000,Royal Challengers Bangalore,2018,Overseas
Chris Woakes,All-Rounder,15000000,Delhi Capitals,2020,Overseas
Christopher Barnwell,All-Rounder,3750000,Royal Challengers Bangalore,2013,Overseas
Christopher Gayle,Batsman,20000000,Kings XI Punjab,2018,Overseas
Christopher Morris,All-Rounder,46875000,Chennai Super Kings,2013,Overseas
Christopher Morris,All-Rounder,14000000,Rajasthan Royals,2015,Overseas
Christopher Morris,All-Rounder,70000000,Delhi Daredevils,2016,Overseas
Christopher Morris,All-Rounder,100000000,Royal Challengers Bangalore,2020,Overseas
Christopher Morris,All-Rounder,162500000,Rajasthan Royals,2021,Overseas
Clinton McKay,Bowler,7500000,Sunrisers Hyderabad,2013,Overseas
Colin De Grandhomme,All-Rounder,22000000,Royal Challengers Bangalore,2018,Overseas
Colin Ingram,Batsman,64000000,Delhi Capitals,2019,Overseas
Colin Munro,All-Rounder,3000000,Kolkata Knight Riders,2016,Overseas
Colin Munro,All-Rounder,19000000,Delhi Daredevils,2018,Overseas
Corey Anderson,All-Rounder,45000000,Mumbai Indians,2014,Overseas
Corey Anderson,All-Rounder,10000000,Delhi Daredevils,2017,Overseas
Dale Steyn,Bowler,23000000,Gujarat Lions,2016,Overseas
Dale Steyn,Bowler,20000000,Royal Challengers Bangalore,2020,Overseas
Dan Christian,All-Rounder,48000000,Royal Challengers Bangalore,2021,Overseas
Daniel Christian,All-Rounder,7500000,Royal Challengers Bangalore,2013,Overseas
Daniel Christian,All-Rounder,10000000,Rising Pune Supergiant,2017,Overseas
Daniel Christian,All-Rounder,15000000,Delhi Daredevils,2018,Overseas
Daniel Sams,All-Rounder,26000000,Mumbai Indians,2022,Overseas
Darcy Short,All-Rounder,40000000,Rajasthan Royals,2018,Overseas
Darren Bravo,Batsman,5000000,Kolkata Knight Riders,2017,Overseas
Darren Sammy,All-Rounder,31875000,Sunrisers Hyderabad,2013,Overseas
Darren Sammy,All-Rounder,35000000,Sunrisers Hyderabad,2014,Overseas
Darren Sammy,All-Rounder,28000000,Royal Challengers Bangalore,2015,Overseas
Darren Sammy,All-Rounder,3000000,Kings XI Punjab,2017,Overseas
Darshan Nalkande,All-Rounder,3000000,Kings XI Punjab,2019,Indian
Darshan Nalkande,All-Rounder,2000000,Gujarat Titans,2022,Indian
Daryl Mitchell,All-Rounder,7500000,Rajasthan Royals,2022,Overseas
David Miller,Batsman,30000000,Kings XI Punjab,2018,Overseas
David Miller,Batsman,7500000,Rajasthan Royals,2020,Overseas
David Miller,Batsman,30000000,Gujarat Titans,2022,Overseas
David Warner,Batsman,55000000,Sunrisers Hyderabad,2014,Overseas
David Warner,Batsman,62500000,Delhi Capitals,2022,Overseas
David Wiese,All-Rounder,28000000,Royal Challengers Bangalore,2015,Overseas
David Willey,All-Rounder,20000000,Royal Challengers Bangalore,2022,Overseas
Dawid Malan,All-Rounder,15000000,Punjab Kings,2021,Overseas
Debabrata Das,Wicket Keeper,2000000,Kolkata Knight Riders,2014,Indian
Deepak Chahar,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian
Deepak Chahar,All-Rounder,8000000,Chennai Super Kings,2018,Indian
Deepak Chahar,Bowler,140000000,Chennai Super Kings,2022,Indian
Deepak Hooda,Bowler,4000000,Rajasthan Royals,2014,Indian
Deepak Hooda,All-Rounder,42000000,Sunrisers Hyderabad,2016,Indian
Deepak Hooda,All-Rounder,36000000,Sunrisers Hyderabad,2018,Indian
Deepak Hooda,All-Rounder,5000000,Kings XI Punjab,2020,Indian
Deepak Hooda,All-Rounder,57500000,Lucknow Super Giants,2022,Indian
Deepak Punia,All-Rounder,1000000,Mumbai Indians,2016,Indian
Devdutt Padikkal,Batsman,2000000,Royal Challengers Bangalore,2019,Indian
Devdutt Padikkal,Batsman,77500000,Rajasthan Royals,2022,Indian
Devon Conway,Batsman,10000000,Chennai Super Kings,2022,Overseas
Dewald Brevis,Batsman,30000000,Mumbai Indians,2022,Overseas
Dhawal Kulkarni,Bowler,11000000,Rajasthan Royals,2014,Indian
Dhawal Kulkarni,Bowler,20000000,Gujarat Lions,2016,Indian
Dhawal Kulkarni,Bowler,7500000,Rajasthan Royals,2018,Indian
Dhruv Jurel,Wicket Keeper,2000000,Rajasthan Royals,2022,Indian
Dhruv Shorey,All-Rounder,2000000,Chennai Super Kings,2018,Indian
Digvijay Deshmukh,All-Rounder,2000000,Mumbai Indians,2020,Indian
Dinesh Karthik,Wicket Keeper,125000000,Delhi Daredevils,2014,Indian
Dinesh Karthik,Wicket Keeper,105000000,Royal Challengers Bangalore,2015,Indian
Dinesh Karthik,Wicket Keeper,23000000,Gujarat Lions,2016,Indian
Dinesh Karthik,Wicket Keeper,74000000,Kolkata Knight Riders,2018,Indian
Dinesh Karthik,Wicket Keeper,55000000,Royal Challengers Bangalore,2022,Indian
Dinesh Salunkhe,All-Rounder,1000000,Rajasthan Royals,2015,Indian
Dirk Nannes,Bowler,45000000,Chennai Super Kings,2013,Overseas
Dishant Yagnik,Wicket Keeper,3000000,Rajasthan Royals,2014,Indian
Dominic Drakes,All-Rounder,11000000,Gujarat Titans,2022,Overseas
Domnic Joseph Muthuswamy,Bowler,7500000,Delhi Daredevils,2015,Overseas
Dushmanta Chameera,Bowler,20000000,Lucknow Super Giants,2022,Overseas
Dushmantha Chameera,Bowler,5000000,Rajasthan Royals,2018,Overseas
Dwaine Pretorius,All-Rounder,5000000,Chennai Super Kings,2022,Overseas
Dwayne Bravo,All-Rounder,64000000,Chennai Super Kings,2018,Overseas
Dwayne Bravo,All-Rounder,44000000,Chennai Super Kings,2022,Overseas
Dwayne Smith,Batsman,45000000,Chennai Super Kings,2014,Overseas
Dwayne Smith,All-Rounder,23000000,Gujarat Lions,2016,Overseas
Eklavya Dwivedi,Wicket Keeper,1000000,Chennai Super Kings,2015,Indian
Eklavya Dwivedi,Wicket Keeper,10000000,Gujarat Lions,2016,Indian
Eklavya Dwivedi,Wicket Keeper,7500000,Sunrisers Hyderabad,2017,Indian
Eoin Morgan,Batsman,15000000,Sunrisers Hyderabad,2015,Overseas
Eoin Morgan,Batsman,20000000,Kings XI Punjab,2017,Overseas
Eoin Morgan,Batsman,52500000,Kolkata Knight Riders,2020,Overseas
Evin Lewis,Batsman,38000000,Mumbai Indians,2018,Overseas
Evin Lewis,Batsman,20000000,Lucknow Super Giants,2022,Overseas
Fabian Allen,All-Rounder,5000000,Sunrisers Hyderabad,2020,Overseas
Fabian Allen,All-Rounder,7500000,Punjab Kings,2021,Overseas
Fabian Allen,All-Rounder,7500000,Mumbai Indians,2022,Overseas
Faf Du Plessis,Batsman,47500000,Chennai Super Kings,2014,Overseas
Faf Du Plessis,Batsman,16000000,Chennai Super Kings,2018,Overseas
Faf Du Plessis,Batsman,70000000,Royal Challengers Bangalore,2022,Overseas
Farhaan Behardien,All-Rounder,3000000,Kings XI Punjab,2016,Overseas
Fazalhaq Farooqi,Bowler,5000000,Sunrisers Hyderabad,2022,Overseas
Fidel Edwards,Bowler,15750000,Rajasthan Royals,2013,Overseas
Finn Allen,Batsman,8000000,Royal Challengers Bangalore,2022,Overseas
Gautam Gambhir,Batsman,28000000,Delhi Daredevils,2018,Indian
George Bailey,Batsman,32500000,Kings XI Punjab,2014,Overseas
Glenn Maxwell,All-Rounder,75000000,Mumbai Indians,2013,Overseas
Glenn Maxwell,All-Rounder,60000000,Kings XI Punjab,2014,Overseas
Glenn Maxwell,All-Rounder,90000000,Delhi Daredevils,2018,Overseas
Glenn Maxwell,All-Rounder,107500000,Kings XI Punjab,2020,Overseas
Glenn Maxwell,All-Rounder,142500000,Royal Challengers Bangalore,2021,Overseas
Glenn Phillips,Wicket Keeper,15000000,Sunrisers Hyderabad,2022,Overseas
Gurinder Sandhu,Bowler,17000000,Delhi Daredevils,2015,Indian
Gurkeerat Singh Mann,All-Rounder,5000000,Gujarat Titans,2022,Indian
Gurkeerat Singh Mann,All-Rounder,7500000,Delhi Daredevils,2018,Indian
Gurkeerat Singh Mann,All-Rounder,5000000,Royal Challengers Bangalore,2019,Indian
Gurkeerat Singh Mann,Batsman,13000000,Kings XI Punjab,2014,Indian
Hanuma Vihari,Batsman,1000000,Sunrisers Hyderabad,2015,Indian
Hanuma Vihari,Batsman,20000000,Delhi Capitals,2019,Indian
Harbhajan Singh,Bowler,20000000,Chennai Super Kings,2018,Indian
Harbhajan Singh,Bowler,20000000,Kolkata Knight Riders,2021,Indian
Hardik Pandya,All-Rounder,1000000,Mumbai Indians,2015,Indian
Hardus Viljoen,Bowler,7500000,Kings XI Punjab,2019,Overseas
Harpreet Brar,All-Rounder,2000000,Kings XI Punjab,2019,Indian
Harpreet Brar,All-Rounder,38000000,Punjab Kings,2022,Indian
Harry Gurney,Bowler,7500000,Kolkata Knight Riders,2019,Overseas
Harshal Patel,Bowler,4000000,Royal Challengers Bangalore,2014,Indian
Harshal Patel,All-Rounder,2000000,Delhi Daredevils,2018,Indian
Harshal Patel,All-Rounder,107500000,Royal Challengers Bangalore,2022,Indian
Heinrich Klaasen,Wicket Keeper,5000000,Royal Challengers Bangalore,2019,Overseas
Himmat Singh,Batsman,6500000,Royal Challengers Bangalore,2019,Indian
Hrithik Shokeen,All-Rounder,2000000,Mumbai Indians,2022,Indian
HS Sharath,Bowler,1000000,Delhi Daredevils,2014,Indian
Imran Tahir,Bowler,10000000,Chennai Super Kings,2018,Overseas
Iqbal Abdullah,All-Rounder,6500000,Rajasthan Royals,2014,Indian
Iqbal Abdullah,All-Rounder,1000000,Royal Challengers Bangalore,2016,Indian
Irfan Pathan,All-Rounder,24000000,Sunrisers Hyderabad,2014,Indian
Irfan Pathan,All-Rounder,15000000,Chennai Super Kings,2015,Indian
Irfan Pathan,All-Rounder,10000000,Rising Pune Supergiant,2016,Indian
Ishan Kishan,Wicket Keeper,3500000,Gujarat Lions,2016,Indian
Ishan Kishan,Wicket Keeper,62000000,Mumbai Indians,2018,Indian
Ishan Kishan,Wicket Keeper,152500000,Mumbai Indians,2022,Indian
Ishan Porel,Bowler,2500000,Punjab Kings,2022,Indian
Ishan Porel,Bowler,2000000,Kings XI Punjab,,Indian
Ishank Jaggi,Batsman,1000000,Kolkata Knight Riders,2017,Indian
Ishank Jaggi,Batsman,2000000,Kolkata Knight Riders,2018,Indian
Ishant Sharma,Bowler,26000000,Sunrisers Hyderabad,2014,Indian
Ishant Sharma,Bowler,38000000,Rising Pune Supergiant,2016,Indian
Ishant Sharma,Bowler,11000000,Delhi Capitals,2019,Indian
Ishwar Chandra Pandey,Bowler,15000000,Chennai Super Kings,2014,Indian
